x " " y
0.5 0.020833333333333332
0.48333333333333334 0.09166666666666666
0.4791666666666667 0.10416666666666667
0.37916666666666665 0.5041666666666667
0.24583333333333332 1.0416666666666667
x " " y
0.5083333333333333 0.020833333333333332
0.525 0.09166666666666666
0.5291666666666667 0.10416666666666667
0.6291666666666667 0.5041666666666667
0.7625 1.0416666666666667
x " " y " " p
0.5 0.008333333333333333 3.430245857627797e-16
0.5 0.05 -3.4596396096232646e-13
0.5 0.09583333333333333 2.313502296979339e-13
0.5 0.9041666666666667 0.00011813189374288489
x " " y " " p
0.5 0.004166666666666667 -3.5076525859238524e-16
0.5 0.041666666666666664 -3.7617486564778057e-13
0.5 0.075 -8.734431154646067e-13
0.5 0.43333333333333335 -1.0727218106742151e-07
0.5 1.8 -0.08517321192804048
