x " " y
0.5 0.11363636363636365
0.4772727272727273 0.2272727272727273
0.4090909090909091 0.5
0.2727272727272727 1.0227272727272727
x " " y
0.5454545454545454 0.11363636363636365
0.5681818181818181 0.2272727272727273
0.6363636363636364 0.5
0.7727272727272727 1.0227272727272727
x " " y " " p
0.5 0.045454545454545456 2.2109276292277204e-14
0.5 0.20454545454545456 3.0551550295462226e-10
0.5 0.8863636363636364 0.00011963229471307928
x " " y " " p
0.5 0.09090909090909091 -1.4343776068076892e-12
0.5 0.4318181818181818 -1.6484503136769732e-07
0.5 1.7954545454545454 -0.08657842062023759
