x y
0.5 0.005
0.5 0.006
0.498 0.013000000000000001
0.495 0.025
0.488 0.055
0.464 0.15
0.442 0.23800000000000002
0.377 0.498
0.23900000000000002 1.05
x y
0.502 0.005
0.502 0.006
0.504 0.013000000000000001
0.507 0.025
0.514 0.055
0.538 0.15
0.56 0.23800000000000002
0.625 0.498
0.763 1.049
x y p
0.5 0.002 8.179277814851946e-26
0.5 0.01 9.035296064566397e-22
0.5 0.046 3.718325640818163e-16
0.5 0.215 1.0490172137794236e-10
0.5 0.905 0.00012305339773275152
x y p
0.5 0.005 -4.3591739422087385e-24
0.5 0.021 -5.340829761600264e-19
0.5 0.124 -8.836399851763403e-13
0.5 0.431 -9.675957970477289e-08
0.5 1.802 -0.08487587488679667
